record_id,emp_id,course_name,category,hours,enrollment_date,completion_date,status,score
367,106,Data Analysis with SQL,Technical,20,2024-09-15,,In Progress,
368,106,Customer Service Excellence,Soft Skills,8,2022-07-16,,Enrolled,
369,107,Advanced Python,Technical,24,2024-08-23,2024-09-27,Completed,77
370,107,Project Management Basics,Professional,12,2024-04-21,,In Progress,
371,107,Financial Modeling,Technical,20,2022-10-20,,In Progress,
372,107,Customer Service Excellence,Soft Skills,8,2023-01-08,,In Progress,
373,108,Data Analysis with SQL,Technical,20,2025-01-18,,In Progress,
374,108,Cybersecurity Awareness,Compliance,4,2022-11-22,2023-01-23,Completed,82
375,108,Diversity & Inclusion,Compliance,4,2023-04-01,2023-04-17,Completed,76
376,108,Cloud Architecture,Technical,32,2025-06-09,,In Progress,
377,109,Public Speaking,Soft Skills,12,2024-09-01,,In Progress,
378,109,Data Analysis with SQL,Technical,20,2025-05-13,2025-08-03,Completed,86
379,109,Customer Service Excellence,Soft Skills,8,2022-08-29,2022-11-12,Completed,91
380,109,Advanced Python,Technical,24,2022-09-24,,In Progress,
381,109,Negotiation Skills,Professional,12,2025-01-09,2025-03-19,Completed,86
382,110,Cloud Architecture,Technical,32,2024-02-22,2024-05-07,Completed,95
383,110,Public Speaking,Soft Skills,12,2025-02-04,2025-04-03,Completed,88
384,110,Leadership Fundamentals,Leadership,16,2025-03-12,,Enrolled,
385,110,Cybersecurity Awareness,Compliance,4,2025-06-26,,Enrolled,
386,110,Machine Learning Basics,Technical,24,2024-07-21,2024-09-27,Completed,74
387,111,Financial Modeling,Technical,20,2023-08-23,,In Progress,
388,111,Agile & Scrum,Professional,16,2025-02-06,2025-03-24,Completed,76
389,111,Project Management Basics,Professional,12,2022-01-31,,Enrolled,
390,111,Advanced Python,Technical,24,2022-02-03,,In Progress,
391,112,Machine Learning Basics,Technical,24,2024-06-30,,Enrolled,
392,112,Leadership Fundamentals,Leadership,16,2024-01-08,,Enrolled,
393,113,Sales Methodology,Sales,16,2025-06-17,,Enrolled,
394,113,Cloud Architecture,Technical,32,2025-03-20,2025-06-10,Completed,83
395,113,Advanced Python,Technical,24,2025-05-17,,In Progress,
396,113,Data Analysis with SQL,Technical,20,2025-04-01,,Enrolled,
397,114,Agile & Scrum,Professional,16,2025-01-11,2025-03-13,Completed,87
398,114,Project Management Basics,Professional,12,2025-02-17,2025-04-04,Completed,79
399,114,Sales Methodology,Sales,16,2025-02-28,2025-05-03,Completed,93
400,114,Machine Learning Basics,Technical,24,2024-07-18,,Enrolled,
401,114,Cybersecurity Awareness,Compliance,4,2024-07-08,,Enrolled,
402,115,Financial Modeling,Technical,20,2025-01-02,2025-02-12,Completed,86
403,115,Agile & Scrum,Professional,16,2025-05-05,2025-07-28,Completed,89
404,115,Cybersecurity Awareness,Compliance,4,2024-11-07,2025-01-09,Completed,100
405,116,Agile & Scrum,Professional,16,2025-07-12,2025-09-24,Completed,99
406,116,Advanced Python,Technical,24,2025-06-13,2025-07-08,Completed,72
407,117,Project Management Basics,Professional,12,2023-11-12,,Enrolled,
408,117,Cloud Architecture,Technical,32,2024-11-01,2025-01-20,Completed,79
409,117,Advanced Python,Technical,24,2025-06-07,2025-07-13,Completed,90
410,117,Customer Service Excellence,Soft Skills,8,2025-02-22,2025-03-09,Completed,76
411,118,Project Management Basics,Professional,12,2024-11-11,,In Progress,
412,118,Leadership Fundamentals,Leadership,16,2023-04-20,,In Progress,
413,118,Agile & Scrum,Professional,16,2022-12-14,,Enrolled,
414,118,Customer Service Excellence,Soft Skills,8,2022-03-15,2022-04-28,Completed,90
415,119,Data Analysis with SQL,Technical,20,2023-07-20,2023-09-17,Completed,91
416,119,Advanced Python,Technical,24,2024-03-20,2024-06-17,Completed,76
417,120,Cybersecurity Awareness,Compliance,4,2022-05-21,2022-08-13,Completed,79
418,120,Negotiation Skills,Professional,12,2025-02-19,,In Progress,
